#;sdata_version;0.8.3;-;str;;
#;Time;;s;float;Time;
#;Displacement;;mm;float;Actuator displacement;
#;Force;;N;float;Load washer force;
#;Estress;;MPa;float;Engineering stress;
#;Estrain;;mm/mm;float;Engineering strain;
#;Tstress;;MPa;float;True stress;
#;Tstrain;;mm/mm;float;True strain;
#;EstrainRate;;mm/mm/s;float;Engineering strain rate computed from smooth spline;
#;Experiment;E191121-WEL-002;nan;str;NCAL Experiment descriptor;
#;Specimen;S191107-ERR-177;nan;str;NCAL Specimen descriptor;
#;Material;DP980;nan;str;describes heat treatment. Retained for compatibility with other scripts;
#;Geometry;A36R19W18;nan;str;description of major specimen geometry components by concatenating reduced parallel length, fillet radius and width;
#;Path;TCT;nan;str;strain path for test C=compression, T =tension;
#;NumisheetID;C00FeDP980_Numisheet2020R03T1.409W17.91-S;nan;str;Numisheet 2020 Material designation, per Tom Stoughton 2019-11-19 email;
#;IntendedRate;0.00025;mm/s;float;Intended actuator velocity;
#;ASPID;Lot #45: 1.40N CR700Y980T-DP-EGxxGxxG;nan;str;ASP Materials Bank ID;
#;dedt;;mm/mm/s;float;achieved specimen engineering strain rate;
#;dedtnomlabel;0.00025;mm/mm/s;float;convenient axis label;
#;StrainA;;mm/mm;float;Engineering strain based on a gauge length equal to the reduced parallel length;
#;StrainfG;;mm/mm;float;Engineering strain based on a gauge length equal to 4/7 of the reduced parallel length;
#;eyyA;;mm/mm;float;Average engineering strain in the entire reduced parallel length;
#;eyyfgA;;mm/mm;float;Average engineering strain in the central 4/7 of the reduced parallel length;
#;name;Numisheet_2020_TensionCompression_DP980_E191121-WEL-002;-;str;;
#;uuid;e84f95393cb0308899d11a9fced291bf;-;str;;
index;Time;Displacement;Force;Estress;Estrain;Tstress;Tstrain;StrainA;StrainfG;eyyA;eyyfgA
10790;0.0;-44.96;-1.5;-0.0594341677045193;0.0;-0.0594341677045193;0.0;0.0;0.0;-3.43115283548614e-18;-3.24049867593637e-18
10791;0.350300000000061;-44.9576;-3.5;-0.138679724643878;-8.48438851488217e-06;-0.138678548031215;-8.484424507490041e-06;-8.48438851488217e-06;-7.68220636583137e-06;1.2108243888895399e-06;2.22289100686542e-06
10792;0.600300000000061;-44.9624;1.5;0.0594341677045193;-1.14209758661244e-05;0.0594334889083243;-1.1421041085991302e-05;-1.14209758661244e-05;3.70521196673791e-06;-5.7160894275623e-06;-6.27628809458759e-07
10793;0.8503000000000609;-44.96;8.5;0.336793616992276;-1.17502331971218e-05;0.33678965958873697;-1.17503022316362e-05;-1.17502331971218e-05;2.47437100413663e-07;-3.4815699693372903e-06;-7.22085850124905e-07
10794;1.1001;-44.952;0.0;0.0;7.247837626929179e-06;0.0;7.247811361507581e-06;7.247837626929179e-06;-1.05951990998318e-06;1.44993778264316e-06;1.86048782708333e-06
10795;1.35040000000004;-44.9624;0.0;0.0;-3.05243966556137e-05;0.0;-3.0524862534505104e-05;-3.05243966556137e-05;4.46921274583688e-06;-3.0084550796938202e-05;-2.6768695750291197e-06
10796;1.60040000000004;-44.9576;-5.0;-0.19811389234839802;6.7917549988978e-05;-0.19812734775858498;6.791524369654251e-05;6.7917549988978e-05;0.00010192542065781;6.51992580736516e-05;8.75948116566462e-05
10797;1.8501;-44.9552;3.5;0.138679724643878;1.51669691162211e-05;0.138681827994979;1.5166854098874e-05;1.51669691162211e-05;-2.71745545551515e-06;1.3047066530045401e-05;1.1187967540294e-06
10798;2.1001;-44.9576;-3.0;-0.118868335409039;-1.29370961450609e-05;-0.118866797597955;-1.29371798299771e-05;-1.29370961450609e-05;-7.174938177619189e-06;-7.53849161598315e-06;-6.05703191724925e-06
10799;2.35040000000004;-44.9552;-6.5;-0.257548060052917;-1.49813442328255e-05;-0.257544201636773;-1.4981456454292301e-05;-1.49813442328255e-05;-1.92950034525229e-05;-8.68280720031111e-06;-3.1202806572433496e-06
10800;2.60040000000004;-44.96;6.5;0.257548060052917;-9.93542560594398e-06;0.25754550120332603;-9.93547496256823e-06;-9.93542560594398e-06;1.4461864882040002e-06;-8.02905706100839e-06;-1.42952912357113e-05
